cluster,total_size,train,val,test,avg_code_len,avg_feedback_len,test_ratio
0,876,700,88,88,276.8767123287671,168.5947488584475,0.12553495007132667
1,1701,1361,170,170,241.7172251616696,193.21869488536154,0.12481644640234948
2,632,506,63,63,255.03322784810126,165.99208860759492,0.1242603550295858
3,1681,1345,168,168,251.1921475312314,155.52766210588936,0.12481426448736999
4,1387,1109,139,139,385.04470079307856,186.51694304253786,0.12522522522522522
5,899,719,90,90,342.08787541713014,192.78420467185762,0.125
6,836,669,84,83,245.72368421052633,159.60645933014354,0.12388059701492538
7,916,733,91,92,362.46069868995636,160.33951965065503,0.12534059945504086
8,892,714,89,89,325.98766816143495,180.10089686098655,0.12447552447552447
9,1986,1589,198,199,252.12688821752266,151.6122860020141,0.12515723270440252
