experiment_id,model,dataset,dataset_quality,batch_size,best_loss,best_mrr,best_recall_at_10,final_loss,final_mrr,final_recall_at_10,best_accuracy,final_accuracy,total_steps,total_epochs,duration,test_mrr,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_loss
gemma-embedding-300m_raft_bs32,gemma-embedding-300m,raft,standard,32,0.49723711609840393,0.0,0.0,0.6674773693084717,,,0.90625,0.71875,1497,0,1142.1570870876312,0.18048956258152787,0.08064516129032258,0.25806451612903225,0.37992831541218636,1.1303610801696777
gemma-embedding-300m_raft-ultra-clean_bs256,gemma-embedding-300m,raft-ultra-clean,high,256,2.506176471710205,0.0,0.0,2.6784515380859375,,,0.33984375,0.28515625,71,0,806.1957492828369,0.3543462331903822,0.19215686274509805,0.5176470588235295,0.7098039215686275,3.012820243835449
SFR-Embedding-Code-400M_R_raft_bs32,SFR-Embedding-Code-400M_R,raft,standard,32,1.1820507049560547,0.0,0.0,1.6075189113616943,,,0.65625,0.375,1497,0,876.892303943634,0.09710331401338544,0.03136200716845878,0.12544802867383512,0.22580645161290322,1.596279501914978
SFR-Embedding-Code-400M_R_raft-ultra-clean_bs128,SFR-Embedding-Code-400M_R,raft-ultra-clean,high,128,2.582719326019287,0.0,0.0,2.8305869102478027,,,0.25,0.171875,148,0,636.4805285930634,0.2607410247366022,0.12992125984251968,0.3937007874015748,0.562992125984252,2.8360748291015625
SFR-Embedding-Code-400M_R_raft_bs256,SFR-Embedding-Code-400M_R,raft,standard,256,3.2694671154022217,0.0,0.0,3.276970863342285,,,0.16796875,0.1171875,116,0,1021.9008846282959,0.12269020458599153,0.03823529411764706,0.18137254901960784,0.30686274509803924,3.249587059020996
SFR-Embedding-Code-400M_R_raft-ultra-clean_bs256,SFR-Embedding-Code-400M_R,raft-ultra-clean,high,256,3.4806418418884277,0.0,0.0,3.5913257598876953,,,0.140625,0.10546875,71,0,683.2345433235168,0.2523159408539161,0.12941176470588237,0.3333333333333333,0.5803921568627451,3.6266210079193115
SFR-Embedding-Code-400M_R_raft-ultra-clean_bs32,SFR-Embedding-Code-400M_R,raft-ultra-clean,high,32,1.0418813228607178,0.0,0.0,1.6461865901947021,,,0.6875,0.375,803,0,583.5773189067841,0.2511668272839485,0.12544802867383512,0.3870967741935484,0.5304659498207885,1.7826004028320312
gemma-embedding-300m_raft_bs128,gemma-embedding-300m,raft,standard,128,1.6114437580108643,0.0,0.0,1.6601282358169556,,,0.5078125,0.453125,255,0,1140.1696004867554,0.20238471649939596,0.10411198600174978,0.2799650043744532,0.4094488188976378,2.140781879425049
SFR-Embedding-Code-400M_R_raft_bs64,SFR-Embedding-Code-400M_R,raft,standard,64,1.720329761505127,0.0,0.0,1.9809746742248535,,,0.46875,0.359375,585,0,893.1960790157318,0.11351468464162176,0.037037037037037035,0.15343915343915343,0.2619047619047619,1.9881978034973145
gemma-embedding-300m_raft-ultra-clean_bs128,gemma-embedding-300m,raft-ultra-clean,high,128,1.594106674194336,0.0,0.0,1.8310737609863281,,,0.53125,0.421875,148,0,755.5909798145294,0.391554429541007,0.23228346456692914,0.5787401574803149,0.7519685039370079,2.2123537063598633
gemma-embedding-300m_raft-ultra-clean_bs32,gemma-embedding-300m,raft-ultra-clean,high,32,0.4287537932395935,0.0,0.0,0.751936674118042,,,0.90625,0.84375,803,0,746.0612637996674,0.33150165647929625,0.1863799283154122,0.4874551971326165,0.6559139784946236,1.328006386756897
SFR-Embedding-Code-400M_R_raft-ultra-clean_bs64,SFR-Embedding-Code-400M_R,raft-ultra-clean,high,64,1.9109545946121216,0.0,0.0,2.4696273803710938,,,0.390625,0.25,334,0,611.6223335266113,0.2518621723002821,0.11904761904761904,0.3611111111111111,0.5357142857142857,2.389432668685913
SFR-Embedding-Code-400M_R_raft_bs128,SFR-Embedding-Code-400M_R,raft,standard,128,2.4116291999816895,0.0,0.0,2.4927825927734375,,,0.296875,0.2734375,255,0,953.8367328643799,0.11772059615338436,0.04111986001749781,0.16010498687664043,0.26071741032370954,2.6230196952819824
gemma-embedding-300m_raft_bs64,gemma-embedding-300m,raft,standard,64,0.8772515058517456,0.0,0.0,1.0905841588974,,,0.765625,0.5625,585,0,1094.2232847213745,0.19185154658233597,0.08818342151675485,0.2821869488536155,0.4038800705467372,1.5804216861724854
gemma-embedding-300m_raft_bs256,gemma-embedding-300m,raft,standard,256,2.3624672889709473,0.0,0.0,2.7807748317718506,,,0.328125,0.25,116,0,1202.8219459056854,0.20546485481021662,0.10098039215686275,0.2901960784313726,0.4343137254901961,2.8416738510131836
gemma-embedding-300m_raft-ultra-clean_bs64,gemma-embedding-300m,raft-ultra-clean,high,64,0.8503580689430237,0.0,0.0,1.228158712387085,,,0.703125,0.671875,334,0,727.3202307224274,0.3694653644269731,0.2222222222222222,0.5238095238095238,0.7063492063492064,1.765608549118042
